	HUMAN_RAW	YiSi-0	esim	MEE	CharacTER	paresim-1	EED	BERT-large-L2	SWSS+METEOR	BLEURT	COMET-2R	COMET	BERT-base-L2	sentBLEU	YiSi-1	mBERT-L2	prism	TER	BLEURT-extended	chrF++	chrF	parchrf++	BLEU	COMET-QE	parbleu	COMET-Rank	COMET-HTER	OpenKiwi-Bert	OpenKiwi-XLMR	COMET-MQM	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008224889938558227	0.0043257992476267	0.0029421476091386622	0.0486179824132193	0.12	0.04755453525423737	0.045267057415717855	0.12	0.12	0.12	0.12	0.12
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04212509890225518	0.12	0.12	0.12	0.12	0.014847200299796148	0.12	0.003780968460490006	0.008433356278525492	0.12	0.013550879223024358	0.01891470717106716	0.12
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.040165474185880165	0.024408631459729425	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03923439995240364	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04715970851921646	0.12	0.12	0.12	0.12	0.01450092058191411	0.12	0.003923919624249695	0.008107791626208794	0.12	0.012362854087571734	0.019296108685272383	0.12
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035605503608638275	0.029143860431112976	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0433850579762697	0.12	0.12	0.12	0.12	0.12	0.009891382663368652	0.12	0.12	0.12	0.12	0.012785821523850587	0.12	0.005199500253443076	0.01311143647918015	0.12	0.033747304733539325	0.023035806300164885	0.12
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03049228805212951	0.04006222116588757	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02400875262333615	0.12	0.12	0.12	0.12	0.02242274320953456	0.12	0.006144414439997802	0.017134439479905346	0.12	0.03994682671865475	0.02594873405374637	0.12
