	Pearson	N	Winner
SWSS+METEOR	0.8911035506083776	10	True
MEE	0.8759025823702902	10	True
HUMAN_RAW	0.8758580286015046	10	True
EED	0.8680626778969119	10	True
YiSi-0	0.867388115453354	10	True
CharacTER	0.853021202371913	10	True
sentBLEU	0.8499855763350628	10	True
BLEURT	0.846943658459999	10	True
BERT-large-L2	0.8441055699647906	10	True
esim	0.8424969190893252	10	True
COMET-2R	0.8422989653947999	10	True
prism	0.8414247335680112	10	True
paresim-1	0.8401539652809684	10	True
chrF++	0.8394315924869715	10	True
chrF	0.839165088609467	10	True
YiSi-1	0.8373384126731409	10	True
COMET	0.8359433551716375	10	True
parchrf++	0.8337773494849554	10	True
BERT-base-L2	0.8327731176255588	10	True
TER	0.8317103149417445	10	True
YiSi-2	0.8144891777129558	10	True
mBERT-L2	0.8133297712328786	10	False
BLEURT-extended	0.792924815636289	10	False
BLEU	0.7801832516249614	10	False
COMET-QE	0.7728359801515666	10	False
parbleu	0.7670957461139822	10	False
COMET-MQM	0.7502888952090585	10	False
COMET-HTER	0.7437632985729737	10	False
COMET-Rank	0.7434804559511057	10	False
OpenKiwi-XLMR	0.6971879627737986	10	False
OpenKiwi-Bert	0.6948616547981117	10	False
