	SWSS+METEOR	MEE	HUMAN_RAW	EED	YiSi-0	CharacTER	sentBLEU	BLEURT	BERT-large-L2	esim	COMET-2R	prism	paresim-1	chrF++	chrF	YiSi-1	COMET	parchrf++	BERT-base-L2	TER	YiSi-2	mBERT-L2	BLEURT-extended	BLEU	COMET-QE	parbleu	COMET-MQM	COMET-HTER	COMET-Rank	OpenKiwi-XLMR	OpenKiwi-Bert
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03200188050163542	0.12	0.04397728576439326	0.12	0.12	0.03968305768238291	0.12	0.04547946359861713
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04255365611879773	0.12	0.12
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04397144873289805	0.12	0.12	0.12	0.12	0.12	0.12	0.12
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017126187030584772	0.12	0.03083169402526298	0.12	0.12	0.12	0.12	0.12
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015567491429467492	0.12	0.049818325658002906	0.12	0.12	0.0382982672153224	0.021569382950828088	0.03580301713162803	0.046881804276600325
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018765728686669418	0.12	0.12	0.12	0.12	0.04922147120561078	0.021203665209384142	0.04244492643989064	0.04931603836086225
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.046697929129949786	0.12	0.03597983195791532	0.12
