	Pearson	N	Winner
SWSS+METEOR	0.8912096024154523	10	True
YiSi-0	0.8795986222022678	10	True
EED	0.878840476416715	10	True
MEE	0.8759025823702902	10	True
HUMAN_RAW	0.8758580286015046	10	True
CharacTER	0.8725073210465166	10	True
TER	0.8528732593307972	10	True
BLEURT	0.8496883683440848	10	True
BERT-large-L2	0.8495023637382454	10	True
chrF++	0.843337165047542	10	True
COMET-2R	0.8433327572390853	10	True
prism	0.8419284690986215	10	True
esim	0.838970213085725	10	True
YiSi-1	0.8382309237290924	10	True
sentBLEU	0.8367985282301624	10	True
COMET	0.8362368399005728	10	True
BERT-base-L2	0.8354648297559031	10	True
paresim-1	0.8347042574442208	10	True
parchrf++	0.83180267718421	10	True
mBERT-L2	0.8164237454982144	10	False
YiSi-2	0.8144891777129558	10	True
BLEURT-extended	0.7952448110185375	10	False
BLEU	0.7752857568890287	10	False
COMET-QE	0.7728359801515666	10	False
COMET-Rank	0.7569481575043825	10	False
parbleu	0.7563481204643621	10	False
COMET-MQM	0.748272424208402	10	False
COMET-HTER	0.7422989050751845	10	False
OpenKiwi-XLMR	0.6971879627737986	10	False
OpenKiwi-Bert	0.6948616547981117	10	False
