	SWSS+METEOR	YiSi-0	EED	MEE	HUMAN_RAW	CharacTER	TER	BLEURT	BERT-large-L2	chrF++	COMET-2R	prism	esim	YiSi-1	sentBLEU	COMET	BERT-base-L2	paresim-1	parchrf++	mBERT-L2	YiSi-2	BLEURT-extended	BLEU	COMET-QE	COMET-Rank	parbleu	COMET-MQM	COMET-HTER	OpenKiwi-XLMR	OpenKiwi-Bert
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027677934860604953	0.12	0.036537019153303915	0.030173727300961364	0.12	0.12	0.048037694263928926	0.041784412698089225
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014928816025443223	0.12	0.029921609930327622	0.017008719717345962	0.12	0.12	0.12	0.037808753218369136
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03487867533740354	0.12	0.036877623172522106	0.03490098838133846	0.12	0.12	0.12	0.042528075753268425
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04952257313793537	0.12	0.12	0.12	0.12	0.037983681554568896
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.024161323400601422	0.12	0.046868293023762136	0.020795678220774313	0.12	0.12	0.03135901024532199	0.03184737436353295	0.04564773626521064
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014890422729106595	0.12	0.034930421686967215	0.012078648218147636	0.12	0.12	0.03115532211627982	0.029680443141101617	0.03930501959510103
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
