	Pearson	N	Winner
CharacTER	0.8804033121811623	12	True
EED	0.862232155560973	12	True
SWSS+METEOR	0.8622258588051898	12	True
YiSi-0	0.8605320523528952	12	True
MEE	0.8354358393036356	12	True
chrF++	0.8303443210072592	12	True
sentBLEU	0.8291195067558356	12	True
chrF	0.828408365943809	12	True
parchrf++	0.82536633435003	12	True
BLEU	0.8073190121998326	12	True
parbleu	0.801469133021022	12	True
esim	0.800908188380127	12	True
HUMAN_RAW	0.8000463682150069	12	True
paresim-1	0.7974994771013983	12	True
YiSi-1	0.7973149858920869	12	True
TER	0.795457312124914	12	True
prism	0.7880817906419997	12	True
COMET-2R	0.7697910726652145	12	True
BLEURT	0.7680389911685926	12	False
COMET	0.7635869493829732	12	True
YiSi-2	0.7611653010934606	12	True
BERT-large-L2	0.759754674264195	12	False
BERT-base-L2	0.7455484109717204	12	False
BLEURT-extended	0.7426197401895717	12	False
mBERT-L2	0.7400537714194341	12	False
COMET-QE	0.6715268159305661	12	False
COMET-Rank	0.6643530753702487	12	False
OpenKiwi-XLMR	0.6586194889129177	12	False
COMET-MQM	0.6173768286972029	12	False
COMET-HTER	0.5952410838321656	12	False
OpenKiwi-Bert	0.46878033101649874	12	False
