	Kendall	N
YiSi-0	0.8021978021978022	14
TER	0.7802197802197802	14
EED	0.7582417582417583	14
SWSS+METEOR	0.7362637362637363	14
chrF++	0.7142857142857144	14
chrF	0.7142857142857144	14
parchrf++	0.7142857142857144	14
CharacTER	0.6923076923076924	14
sentBLEU	0.6923076923076924	14
YiSi-1	0.6923076923076924	14
MEE	0.6923076923076924	14
BLEU	0.6923076923076924	14
parbleu	0.6850933289361891	14
paresim-1	0.6703296703296704	14
esim	0.6703296703296704	14
prism	0.6483516483516484	14
COMET	0.6263736263736264	14
COMET-Rank	0.6263736263736264	14
BERT-large-L2	0.6263736263736264	14
COMET-HTER	0.6043956043956044	14
BLEURT	0.6043956043956044	14
mBERT-L2	0.6043956043956044	14
BERT-base-L2	0.6043956043956044	14
HUMAN_RAW	0.6043956043956044	14
COMET-MQM	0.5824175824175825	14
COMET-2R	0.5824175824175825	14
YiSi-2	0.5824175824175825	14
BLEURT-extended	0.5824175824175825	14
OpenKiwi-XLMR	0.5604395604395604	14
COMET-QE	0.5164835164835165	14
OpenKiwi-Bert	0.42857142857142855	14
