	YiSi-0	SWSS+METEOR	CharacTER	EED	chrF++	chrF	MEE	parchrf++	HUMAN_RAW	YiSi-1	sentBLEU	BLEU	BERT-base-L2	parbleu	BLEURT	BERT-large-L2	prism	BLEURT-extended	mBERT-L2	esim	paresim-1	COMET-2R	COMET	YiSi-2	TER	COMET-QE	OpenKiwi-XLMR	COMET-Rank	COMET-MQM	COMET-HTER	OpenKiwi-Bert
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03113058197080151	0.030188073785533905	0.019889233104720617	0.015673744253136595	0.01877795345688723	0.014751988140984273	0.011337052152690881	0.010742895383347297	0.012404752988417912	0.008529005721821498	0.007674705747709685	0.0076914680316272814	0.00842371059182729	0.007639952070606944	0.00500128022342585	0.0012417684690936674	0.0019221766127021612	0.001478539795268174	0.001329300689423294	0.0009886969210544572	0.0005590990841211304	0.00030231027843701446
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022299832858437126	0.031288361417514836	0.01970556138868195	0.012021720695498775	0.017723196547648278	0.011914411611964429	0.008993531987652518	0.008422122006615107	0.009367009807873618	0.006909695018422198	0.006876337204830122	0.006824449554413474	0.007150087352607401	0.0063622262749885245	0.004523381977908196	0.0012308665507010507	0.0015610047239744708	0.0012537519123702152	0.0010918034878705377	0.0008051015904784525	0.0004701956798594849	0.0002475615322415662
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02938660959814875	0.026671913009763147	0.02200496324316862	0.02825641992795991	0.023371393270854336	0.01454980929518498	0.011847178426821793	0.011043673202415559	0.018562867809018332	0.01804405030194346	0.013220478232372922	0.010434989979848132	0.00836430835738899	0.003906472865903337	0.0006735786895786171	0.001752877299217542	0.0009063761034966871	0.000842311527358831	0.000800723037008108	0.0002659431759168458
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022909541400944797	0.03280865445515352	0.019410040894747398	0.008980751833791049	0.017792513372737528	0.007478910561174669	0.00444304757679877	0.004187323831138475	0.008548698138359645	0.004105588092650598	0.003198169176402351	0.003237663566332877	0.004271609687035456	0.0034381614839557794	0.0035307321361039167	0.0005117534703168737	0.001833920770688195	0.0007093290754983269	0.0007121415627867133	0.0004627882695994737	0.00020424113665129344	0.0001235445574760855
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032182659503787264	0.014890783671475704	0.005431273424785768	0.009950172022532504	0.005814653322519534	0.005082618539397992	0.004220355272336474	0.0015294530034657995
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.040763031514845	0.01923460205929747	0.009364678176655853	0.014028619509453813	0.00974612882689673	0.008126828554541799	0.006147522893667298	0.002473136637767059
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.048225116941275216	0.013012651549904624	0.12	0.01414624516546822	0.12	0.12	0.039237175706466336	0.032399763074787015	0.028870894358504536	0.045680567561806565	0.04502421075641036	0.032960965999302524	0.02467680970824373	0.018702704268980637	0.0077402255117270165	0.0017069731119755077	0.003919635004996734	0.0012847557569822298	0.001332450566998205	0.0013875919343649746	0.0003756194233760125
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035278434063555214	0.013811160900030808	0.02484448459982571	0.01640425154417137	0.013992436481082534	0.011216960555897635	0.004173046405609674
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04019430113906954	0.02963044324694408	0.03047301823281415	0.027512655690663478	0.0202211850562914	0.011904510595587033	0.0046214804385012265
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04015041166107192	0.034214400507682874	0.009966220025972736	0.007043352504876265	0.0035759475571881345	0.0020483546160200705	0.0011137577625199538	0.0006981080139759373	0.00021555240769235946
