	Pearson	N	Winner
BLEU	0.956805788719771	15	True
parchrf++	0.9555238287395369	15	True
chrF++	0.9549828396821908	15	True
chrF	0.9541016585387854	15	True
parbleu	0.9532901878060057	15	True
CharacTER	0.9499525888185903	15	True
sentBLEU	0.9495612285547368	15	True
MEE	0.9475997716067613	15	True
prism	0.9453861100834088	15	True
YiSi-1	0.9417970644873136	15	True
mBERT-L2	0.9351427645623009	15	True
YiSi-2	0.9330758363119254	15	False
BAQ_static	0.932565087784727	15	True
EED	0.9315311380862863	15	False
COMET	0.9313967215577759	15	True
BLEURT	0.9313285197538272	15	True
BLEURT-extended	0.9305066244857836	15	False
BERT-base-L2	0.929017401696485	15	False
BAQ_dyn	0.927722775615205	15	False
COMET-2R	0.9276556873315877	15	True
BERT-large-L2	0.9276469825649433	15	False
SWSS+METEOR	0.9260928222305832	15	False
YiSi-0	0.9180462149994807	15	False
TER	0.9106562374039487	15	False
esim	0.9104711256114942	15	False
paresim-1	0.9099968784987503	15	False
COMET-Rank	0.9094661215578962	15	True
OpenKiwi-XLMR	0.8987923470967538	15	False
COMET-QE	0.8867190674793795	15	False
COMET-HTER	0.8731352985061999	15	False
COMET-MQM	0.8619644727501155	15	False
HUMAN_RAW	0.8552473381806249	15	False
OpenKiwi-Bert	0.774479199628161	15	False
