	Kendall	N
BAQ_static	0.8666666666666667	16
chrF++	0.8499999999999999	16
sentBLEU	0.8499999999999999	16
YiSi-0	0.8333333333333333	16
chrF	0.8333333333333333	16
EED	0.8333333333333333	16
BLEU	0.8333333333333333	16
SWSS+METEOR	0.8166666666666667	16
YiSi-1	0.8166666666666667	16
BAQ_dyn	0.8166666666666667	16
parchrf++	0.8166666666666667	16
parbleu	0.8067511745433772	16
CharacTER	0.7999999999999999	16
TER	0.7999999999999999	16
prism	0.7999999999999999	16
MEE	0.7833333333333333	16
mBERT-L2	0.75	16
YiSi-2	0.75	16
COMET	0.7333333333333334	16
COMET-2R	0.7166666666666667	16
esim	0.7166666666666667	16
BERT-large-L2	0.7	16
paresim-1	0.7	16
HUMAN_RAW	0.65	16
BLEURT	0.65	16
COMET-Rank	0.65	16
BERT-base-L2	0.6333333333333333	16
BLEURT-extended	0.6166666666666666	16
OpenKiwi-XLMR	0.5666666666666667	16
COMET-QE	0.5499999999999999	16
COMET-HTER	0.5333333333333333	16
COMET-MQM	0.5166666666666667	16
OpenKiwi-Bert	0.45	16
