	BLEU	parchrf++	chrF++	chrF	parbleu	CharacTER	sentBLEU	MEE	prism	YiSi-1	mBERT-L2	YiSi-2	BAQ_static	EED	COMET	BLEURT	BLEURT-extended	BERT-base-L2	BAQ_dyn	COMET-2R	BERT-large-L2	SWSS+METEOR	YiSi-0	TER	esim	paresim-1	COMET-Rank	OpenKiwi-XLMR	COMET-QE	COMET-HTER	COMET-MQM	HUMAN_RAW	OpenKiwi-Bert
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03198121403652016	0.12	0.03963488141495762	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02613529757832956	0.018508234896175594	0.03436299731235894	0.022863932313156865	0.022414670747166406	0.12	0.0357191457044448	0.029022766864257536	0.024296945797650966	0.018733243507895684	0.02885309231180914	0.0033891571569956715
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.045191239206294455	0.12	0.12	0.03685846608165832	0.03305422281455656	0.03138572650592226	0.12	0.018812184264894335	0.01876536134530691	0.12	0.036479254458416197	0.02709619197751458	0.026201130496415433	0.020402563191292983	0.03165771493789954	0.003895109554089517
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03541394699013044	0.12	0.12	0.12	0.12	0.12	0.12	0.045152967126550474	0.018818768848236994	0.01774458628104925	0.04278929404516527	0.018070904888144286	0.018072582502594855	0.12	0.045381620288667913	0.03438723632682349	0.031052053748978677	0.024267347900922484	0.033120238582603226	0.004707543159973886
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035097678462113945	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018705219765774578	0.017267551986027453	0.04339012779145463	0.01972900205232147	0.01992052233407493	0.12	0.12	0.04181019672930911	0.036235625142753976	0.028661966860326467	0.035280046386297066	0.005633945728907335
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04259844713376069	0.01981506064775672	0.12	0.03937679842221312	0.03884921003188347	0.12	0.12	0.040506137368552166	0.03708135992217343	0.02732310368470452	0.0374336098063134	0.005353226203301478
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03434320631035357	0.032131500585102675	0.12	0.045628972288912405	0.0059640283945258925	0.005777981336131317	0.12	0.12	0.12	0.03988250843638558	0.03584069811662972	0.04617185990693274	0.006821114145330931
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02969799674362825	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01891307975684444	0.011849912236852759	0.04732587855494163	0.02963617700105883	0.029183392277310215	0.12	0.12	0.12	0.12	0.03988506180916683	0.04792754618566471	0.008155347105670528
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04454430986064155	0.04314327033002906	0.12	0.044739056004100025	0.03287195115182691	0.037596166994681275	0.028145508514990016	0.12	0.005662421212040414
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.020974210143960517	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027803740251873467	0.019690320496191783	0.03137436355077741	0.021227477721925358	0.12	0.004119395781528911
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04729017457996679	0.12	0.009715385037321715
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03725642257212047	0.02960897608874202	0.03235413634902316	0.024478529275244403	0.12	0.0037604116312962045
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014929203319243828
BAQ_static	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.028320318621581478	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.021092590908507597
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015311906740825897	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03133416856535623
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.016733791914958007	0.010236398216631127	0.03939216108407827	0.02041990984906898	0.12	0.003975016664639408
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014602853437433384
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0382235173053017	0.12	0.037235948089899336	0.12	0.006420562015636891
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01853948372336999
BAQ_dyn	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.026709387057464784
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.034316762734068876	0.0495196375649606	0.034960607392950295	0.12	0.005844138481461249
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02128758280346317
