	parchrf++	chrF	chrF++	BERT-base-L2	BLEURT	CharacTER	YiSi-2	esim	paresim-1	BERT-large-L2	YiSi-1	BAQ_static	mBERT-L2	SWSS+METEOR	parbleu	prism	EED	BAQ_dyn	BLEU	YiSi-0	TER	MEE	COMET	COMET-2R	sentBLEU	BLEURT-extended	HUMAN_RAW	OpenKiwi-XLMR	COMET-Rank	COMET-QE	COMET-HTER	COMET-MQM	OpenKiwi-Bert
parchrf++	0.12	0.12	0.12	0.12	0.12	0.021557539146280703	0.12	0.12	0.12	0.03494812685192769	0.009412082367510101	0.12	0.031654432594	0.018385319436346165	0.01796837213836589	0.009631295198358598	0.01238713720147961	0.043375773254777664	0.015252013361999219	0.0237049653942719	0.12	0.0033301983071650585	0.0209989060346065	0.014023661891942096	0.0037772435728305642	0.004002600866554562	0.027135352958404937	0.0012723132163890206	0.0005773683293136108	0.0001394743446641129	0.00010239269081757241	6.695551961282672e-05	1.3608946188378235e-05
chrF	0.12	0.12	0.12	0.12	0.12	0.026779973825256344	0.12	0.12	0.12	0.04471792041818169	0.01552452299392153	0.12	0.12	0.0068150057202081395	0.018462467284320428	0.02257057985616415	0.004335732978363068	0.03784380435269866	0.01707969170936048	0.00956495270985729	0.0483359611765634	0.007310493319468266	0.0360705858486796	0.02457200400795352	0.00358760147426106	0.009675328150350385	0.02761184059373168	0.0025081524405060995	0.0010094337808701133	0.0002947786639749861	0.00017988782843927182	0.00012019695832971237	2.3288568931422557e-05
chrF++	0.12	0.12	0.12	0.12	0.12	0.030167690024620736	0.12	0.12	0.12	0.12	0.010710717355493718	0.12	0.12	0.01581425341784831	0.013333128314997326	0.01869422526632765	0.007794645383035374	0.12	0.012540067972205698	0.020272003966443325	0.12	0.003688461806785582	0.03617566288247756	0.023990644654241666	0.002085231207310954	0.008157990111595723	0.034920020390681504	0.0022461102997964276	0.0009156779342640155	0.0002429750244527203	0.0001607693037486123	0.00010450477117762127	1.9799958148831738e-05
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008528249660570572	0.00380986490881302	0.00104821559683742	0.0005150150193614256	0.000424602703370186	5.6894750544009336e-05
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.044319951867215525	0.12	0.007602710865504129	0.00292092202120313	0.0008239277326248064	0.0003648363973698043	0.00033640542467279055	4.122763301216174e-05
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027658237444142572	0.12	0.12	0.011575297829316471	0.0029992318286679452	0.0009841937075369708	0.00041241633780111594	0.00036981047062698507	4.7912432456993675e-05
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007436931873026853	0.0044277379519967784	0.0009854055986318986	0.0006286795709702745	0.0003831424384656192	4.994999271392865e-05
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04102790884588501	0.01788157616558327	0.007190821882359311	0.0031341665681612987	0.0023290505851829846	0.00033887858328909387
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.041732008828249574	0.018183921951194955	0.007316599320948129	0.0031748102924616657	0.002369432192063249	0.0003425276193791885
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014097717773191933	0.005467836373396055	0.0014569802845592209	0.0007191361295720263	0.0006151341410109309	7.647669490629733e-05
