	parchrf++	prism	chrF++	chrF	YiSi-1	CharacTER	MEE	mBERT-L2	BLEURT	COMET	BERT-base-L2	BERT-large-L2	parbleu	BLEU	YiSi-2	BLEURT-extended	EQ_static	COMET-2R	sentBLEU	EQ_dyn	SWSS+METEOR	EED	esim	paresim-1	YiSi-0	COMET-Rank	OpenKiwi-XLMR	COMET-QE	TER	COMET-HTER	COMET-MQM	HUMAN_RAW	OpenKiwi-Bert
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035577670589648655	0.12	0.12	0.12	0.021627233961407782	0.0356253234198199	0.02910418421601533	0.04530378414128414	0.005242852765928876
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02060070196272908	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02032051536251696	0.020692996766785963	0.04884277004910223	0.017847388633700192	0.012128673452101118	0.12	0.0019359121608331382
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03611168015086899	0.12	0.034156628490617756	0.034174554252148215	0.12	0.12	0.025271005143593105	0.12	0.12	0.12	0.014644588194757863	0.048224829758083454	0.040522119947231185	0.12	0.007617552984303015
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03332412494276437	0.02903397226295092	0.12	0.12	0.021432834289636184	0.12	0.12	0.12	0.014372801977573511	0.12	0.045696894971435184	0.12	0.008992613262921341
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04017658508243247	0.12	0.045163716440591604	0.12	0.008709821388408052
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02463911269498484	0.12	0.12	0.12	0.009081972750046878
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.048168928872170745	0.12	0.047501645546208664	0.12	0.008571566268970309
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03562139142923551	0.03439310873042237	0.12	0.017965072637955937	0.016829102577654225	0.12	0.002143728915428115
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.009565813668179041
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.005307346563916528	0.008346659616301377	0.12	0.01856490256081131	0.011377836202505832	0.12	0.0019052340189740487
