	Pearson	N	Winner
parchrf++	0.9559686826844092	15	True
chrF++	0.9523603593497226	15	True
CharacTER	0.9489462377338972	15	True
BLEU	0.948737162420418	15	True
MEE	0.9475997716067613	15	True
prism	0.9453861100834088	15	True
parbleu	0.9449699257820077	15	True
sentBLEU	0.9439663729198849	15	True
YiSi-1	0.9431052400328552	15	True
mBERT-L2	0.9390507656388463	15	True
BLEURT	0.9345133739940267	15	True
COMET	0.9339501339301707	15	True
YiSi-2	0.9330758363119254	15	True
BERT-base-L2	0.9327406793896023	15	True
EED	0.9318976472788844	15	False
BERT-large-L2	0.931865579764073	15	True
BLEURT-extended	0.9318367313023685	15	False
SWSS+METEOR	0.9291192637766574	15	False
COMET-2R	0.9291177041916711	15	True
COMET-Rank	0.918811158986575	15	True
YiSi-0	0.9183860748698095	15	False
esim	0.9159103035345093	15	False
paresim-1	0.9146193848768362	15	False
TER	0.9110566440999734	15	False
OpenKiwi-XLMR	0.8987923470967538	15	False
COMET-QE	0.8867190674793795	15	False
COMET-HTER	0.871357871179341	15	False
COMET-MQM	0.8611124043104317	15	False
HUMAN_RAW	0.8552473381806249	15	False
OpenKiwi-Bert	0.774479199628161	15	False
