	Kendall	N
YiSi-1	0.9	16
SWSS+METEOR	0.8333333333333333	16
CharacTER	0.8166666666666667	16
EED	0.8166666666666667	16
parchrf++	0.8166666666666667	16
parbleu	0.8067511745433772	16
prism	0.7999999999999999	16
YiSi-0	0.7999999999999999	16
mBERT-L2	0.7833333333333333	16
MEE	0.7833333333333333	16
chrF++	0.7833333333333333	16
sentBLEU	0.7833333333333333	16
TER	0.7666666666666667	16
esim	0.7666666666666667	16
BLEU	0.75	16
paresim-1	0.75	16
YiSi-2	0.75	16
BERT-base-L2	0.7333333333333334	16
COMET-Rank	0.7333333333333334	16
COMET	0.7333333333333334	16
BERT-large-L2	0.7333333333333334	16
COMET-2R	0.7	16
BLEURT	0.7	16
BLEURT-extended	0.65	16
HUMAN_RAW	0.65	16
OpenKiwi-XLMR	0.5666666666666667	16
COMET-QE	0.5499999999999999	16
COMET-MQM	0.5333333333333333	16
COMET-HTER	0.5333333333333333	16
OpenKiwi-Bert	0.45	16
